2024-03-13 15:53:05,311 - INFO - torch_version:2.1.1+cpu
2024-03-13 15:53:05,369 - INFO - training finished,start predicting
2024-03-13 15:53:42,560 - INFO - torch_version:2.1.1+cpu
2024-03-13 15:53:42,565 - INFO - training finished,start predicting
2024-03-13 15:53:43,714 - DEBUG - Epoch 0 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([1.])), ('cigp_list.0.kernel.length_scales', tensor([1.])), ('cigp_list.0.kernel.signal_variance', tensor([1.])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,759 - DEBUG - Epoch 1 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9900])), ('cigp_list.0.kernel.length_scales', tensor([0.9900])), ('cigp_list.0.kernel.signal_variance', tensor([1.0100])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,777 - DEBUG - Epoch 2 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9800])), ('cigp_list.0.kernel.length_scales', tensor([0.9800])), ('cigp_list.0.kernel.signal_variance', tensor([1.0200])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,791 - DEBUG - Epoch 3 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9700])), ('cigp_list.0.kernel.length_scales', tensor([0.9700])), ('cigp_list.0.kernel.signal_variance', tensor([1.0300])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,804 - DEBUG - Epoch 4 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9600])), ('cigp_list.0.kernel.length_scales', tensor([0.9600])), ('cigp_list.0.kernel.signal_variance', tensor([1.0399])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,815 - DEBUG - Epoch 5 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9501])), ('cigp_list.0.kernel.length_scales', tensor([0.9499])), ('cigp_list.0.kernel.signal_variance', tensor([1.0499])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,827 - DEBUG - Epoch 6 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9401])), ('cigp_list.0.kernel.length_scales', tensor([0.9398])), ('cigp_list.0.kernel.signal_variance', tensor([1.0598])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,839 - DEBUG - Epoch 7 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9302])), ('cigp_list.0.kernel.length_scales', tensor([0.9297])), ('cigp_list.0.kernel.signal_variance', tensor([1.0698])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,852 - DEBUG - Epoch 8 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9203])), ('cigp_list.0.kernel.length_scales', tensor([0.9195])), ('cigp_list.0.kernel.signal_variance', tensor([1.0797])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,864 - DEBUG - Epoch 9 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9105])), ('cigp_list.0.kernel.length_scales', tensor([0.9092])), ('cigp_list.0.kernel.signal_variance', tensor([1.0897])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,880 - DEBUG - Epoch 10 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.9007])), ('cigp_list.0.kernel.length_scales', tensor([0.8989])), ('cigp_list.0.kernel.signal_variance', tensor([1.0997])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
