cost,incumbents,operation_time
500,-0.7669798434723295,0.0
600,-0.39037994915476576,0.7139198780059814
700,-6.748750905664223e-05,0.5924558639526367
800,-6.748750905664223e-05,0.6016631126403809
900,-1.65265471320955e-05,0.6153478622436523
1000,-1.65265471320955e-05,0.6208360195159912
1100,-1.65265471320955e-05,0.6388108730316162
1200,-1.65265471320955e-05,0.6482269763946533
1300,-1.65265471320955e-05,0.6599798202514648
1400,-1.65265471320955e-05,0.6239988803863525
1500,-1.65265471320955e-05,0.6205101013183594
